"","","","","","","","","","","","","","","134","102","103","126","141","606","0","","","","","","","","","","","","","",""
"Ward office","Ward","Ward Name","Name","Gender","Party","Served on any Municipal Committee?","17-18","18-19","19-20","20-21","21-22","Total","Total working days","17-18","18-19","19-20","20-21","21-22","Total","Issue Status","Original Comment","Resolution Comment","","","","","","","","","","","",""
"Aundh-Baner","8A","Aundh- Bopodi","Sunita Wadekar","F","BJP","Women & child welfare","116","87","94","108","140","405","606","0.86567164179104","0.85294117647059","0.9126213592233","0.85714285714286","0.99290780141844","0.66831683168317","No Issue","","","","","","","","","","","","","",""
"Aundh-Baner","8B","Aundh- Bopodi","Archana Musale","F","BJP","Sports Committee, Women & child welfare","99","80","77","67","103","323","606","0.73880597014925","0.7843137254902","0.74757281553398","0.53174603174603","0.73049645390071","0.53300330033003","No Issue","","","","","","","","","","","","","",""
"Aundh-Baner","9A","Baner- Balewadi- Pashan","Swapnali Saikar","F","BJP","Law Committee, Women & child welfare","126","99","89","99","117","413","606","0.94029850746269","0.97058823529412","0.86407766990291","0.78571428571429","0.82978723404255","0.68151815181518","No Issue","","","","","","","","","","","","","",""
"Aundh-Baner","9B","Baner- Balewadi- Pashan","Jyoti Kalamkar","F","BJP","Sports Committee, Name Committee","129","91","94","105","140","419","606","0.96268656716418","0.8921568627451","0.9126213592233","0.83333333333333","0.99290780141844","0.69141914191419","No Issue","","","","","","","","","","","","","",""
"Aundh-Baner","8C","Aundh- Bopodi","Vijay Shewale (till Dec 2020)","M","BJP","Sports Committee, Law Committee","129","99","95","60","0","383","606","0.96268656716418","0.97058823529412","0.92233009708738","0.47619047619048","0","0.63201320132013","No Issue","","","","","","","","","","","","","",""
"Aundh-Baner","8D","Aundh- Bopodi","Prakash Dhore","M","BJP","Standing Committee","119","91","94","100","91","404","606","0.88805970149254","0.8921568627451","0.9126213592233","0.79365079365079","0.64539007092199","0.66666666666667","No Issue","","","","","","","","","","","","","",""
"Aundh-Baner","9C","Baner- Balewadi- Pashan","Amol Balwadkar","M","BJP","City Development Committee, Sports Committee","91","77","77","54","50","299","606","0.67910447761194","0.75490196078431","0.74757281553398","0.42857142857143","0.35460992907801","0.49339933993399","No Issue","","","","","","","","","","","","","",""
"Aundh-Baner","9D","Baner- Balewadi- Pashan","Baburao Chandere","M","NCP","Education Committee","119","88","67","94","127","368","606","0.88805970149254","0.86274509803922","0.6504854368932","0.74603174603175","0.90070921985816","0.60726072607261","Resolved","For 18-19 Attendance in the RTI information PDF is 88","Corrected- Tanmay","","","","","","","","","","","",""
"BhavaniPeth","17A","Rasta Peth- Ravivar Peth","Laxmi Andekar","F","NCP","City Development Committee, Sports Committee, Women & child welfare","122","87","36","69","109","314","606","0.91044776119403","0.85294117647059","0.3495145631068","0.54761904761905","0.77304964539007","0.51815181518152","No Issue","","","","","","","","","","","","","",""
"BhavaniPeth","17B","Rasta Peth- Ravivar Peth","Sulochana Kondhare","F","BJP","Standing Committee, Law Committee","120","96","78","87","131","381","606","0.8955223880597","0.94117647058824","0.75728155339806","0.69047619047619","0.9290780141844","0.62871287128713","No Issue","","","","","","","","","","","","","",""
"BhavaniPeth","18A","Khadakmal Aali- Mahatma Phule Peth","Vijayalaxmi Harihar","F","BJP","","116","90","71","67","133","344","606","0.86567164179104","0.88235294117647","0.68932038834951","0.53174603174603","0.94326241134752","0.56765676567657","No Issue","","","","","","","","","","","","","",""
"BhavaniPeth","18B","Khadakmal Aali- Mahatma Phule Peth","Arti Kondhare","F","BJP","Name Committee, Law Committee, Women & child welfare","114","90","72","48","100","324","606","0.85074626865672","0.88235294117647","0.69902912621359","0.38095238095238","0.70921985815603","0.53465346534653","No Issue","","","","","","","","","","","","","",""
"BhavaniPeth","19B","Lohiya Nagar- Kasewadi","Manisha Ladkat","F","BJP","Law Committee, Women & child welfare","128","102","101","102","129","433","606","0.95522388059701","1","0.98058252427184","0.80952380952381","0.91489361702128","0.71452145214521","No Issue","","","","","","","","","","","","","",""
"BhavaniPeth","19C","Lohiya Nagar- Kasewadi","Archana Patil","F","BJP","Standing Committee, Sports Committee, Women & child welfare","100","83","49","71","98","303","606","0.74626865671642","0.81372549019608","0.47572815533981","0.56349206349206","0.69503546099291","0.5","No Issue","","","","","","","","","","","","","",""
"BhavaniPeth","17C","Rasta Peth- Ravivar Peth","Vanraj Andekar","M","NCP","Sports Committee, Law Committee","123","96","71","86","122","376","606","0.91791044776119","0.94117647058824","0.68932038834951","0.68253968253968","0.86524822695035","0.62046204620462","No Issue","","","","","","","","","","","","","",""
"BhavaniPeth","17D","Rasta Peth- Ravivar Peth","Vishal Dhanawade","M","ShivSena","Standing Committee, City Development Committee, Sports Committee, Name Committee","124","92","87","90","106","393","606","0.92537313432836","0.90196078431373","0.84466019417476","0.71428571428571","0.75177304964539","0.64851485148515","No Issue","","","","","","","","","","","","","",""
