"HADAPSAR - MUNDHWA","","","","","","","",""
"","","","","","","105","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"23A","20-21","1","Electrification/new street lights","197507","Electrification","No Issue","",""
"23C","20-21","2","Electrification/new street lights","197478.17","Electrification","No Issue","",""
"26C","20-21","3","Electrification/new street lights","197014.68","Electrification","No Issue","",""
"23A","20-21","4","Pavement Blocks / Grouting / Laying tiles","101393.33","Pavement blocks","No Issue","",""
"23A","20-21","5","Drainage works","120297.36","Drainage","No Issue","",""
"26D","20-21","6","Pavement Blocks / Grouting / Laying tiles","122589.39","Pavement blocks","No Issue","",""
"26D","20-21","7","Concretization","185795.54","Concretization","No Issue","",""
"26D","20-21","8","Drainage works","198852.69","Drainage","No Issue","",""
"26D","20-21","9","Drainage works","199248.33","Drainage","No Issue","",""
"22C","20-21","10","Electrification/new street lights","199413.97","Electrification","No Issue","",""
"22C","20-21","11","Electrification/new street lights","196924.87","Electrification","No Issue","",""
"23A","20-21","12","Electrification/new street lights","197817.46","Electrification","No Issue","",""
"23B","20-21","13","Electrification/new street lights","197369.5","Electrification","No Issue","",""
"23B","20-21","14","Electrification/new street lights","197411.64","Electrification","No Issue","",""
"23D","20-21","15","Electrification/new street lights","121426","Electrification","No Issue","",""
"26B","20-21","16","Electrification/new street lights","197340","Electrification","No Issue","",""
"26B","20-21","17","Electrification/new street lights","174199.78","Electrification","No Issue","",""
"26B","20-21","18","Electrification/new street lights","174656.61","Electrification","No Issue","",""
"26C","20-21","19","Electrification/new street lights","197869.38","Electrification","No Issue","",""
"26C","20-21","20","Electrification/new street lights","197198.75","Electrification","No Issue","",""
"22A","20-21","21","Drainage works","115618.15","Drainage","No Issue","",""
"22A","20-21","22","Drainage works","115618.15","Drainage","No Issue","",""
"22A","20-21","23","Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed","115767.3","Buildings","No Issue","",""
"22A","20-21","24","Building toilets / maintenance etc.","115737.86","Toilet","No Issue","",""
"22A","20-21","25","Concretization","116055.71","Concretization","No Issue","",""
"22A","20-21","26","Electrification/new street lights","198016.77","Electrification","No Issue","",""
"22C","20-21","27","Temporary Shed construction for yoga in Market terrace","150744.7","Buildings","No Issue","",""
"23B","20-21","28","Electrification/new street lights","198993.93","Electrification","No Issue","",""
"22A","20-21","29","Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed","115742.64","Buildings","No Issue","",""
"22A","20-21","30","Pavement Blocks / Grouting / Laying tiles","115500","Pavement blocks","No Issue","",""
"26C","20-21","31","Market related works","122336.59","Markets /Mandi","No Issue","",""
"26C","20-21","32","Installation of railing along footpath
","144536.37","Footpath","No Issue","",""
"22B","20-21","33","Electrification/new street lights","197785.31","Electrification","No Issue","",""
"22B","20-21","34","Electrification/new street lights","179863.49","Electrification","No Issue","",""
"22D","20-21","35","Electrification/new street lights","197478.17","Electrification","No Issue","",""
"26B","20-21","36","Electrification/new street lights","173489.04","Electrification","No Issue","",""
"26B","20-21","37","Electrification/new street lights","197420.51","Electrification","No Issue","",""
"22D","20-21","38","Electrification/new street lights","197403.88","Electrification","No Issue","",""
"22D","20-21","39","Electrification/new street lights","197198.75","Electrification","No Issue","",""
"22D","20-21","40","Electrification/new street lights","197403.88","Electrification","No Issue","",""
"23B","20-21","41","Drainage works","116160.68","Drainage","No Issue","",""
"23B","20-21","42","Pavement Blocks / Grouting / Laying tiles","116150.46","Pavement blocks","No Issue","",""
"23B","20-21","43","Drainage works","116200.66","Drainage","No Issue","",""
"26C","20-21","44","Drainage works","128182.72","Drainage","No Issue","",""
"26C","20-21","45","Drainage works","124463.51","Drainage","No Issue","",""
"42A","20-21","46","Bags","200000","Bags","No Issue","",""
"42A","20-21","47","Bags","200000","Bags","No Issue","",""
"42A","20-21","48","Bags","200000","Bags","No Issue","",""
