"NAGAR ROAD- VADGAON SHERI","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","0","","","","","","","","","","","","","","","","","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment","","","","","","","","","","","","","","","",""
"3A","17-18","1","Drainage works","200000","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3A","17-18","2","Footpaths / pedestrian crossings","200000","Footpath","No Issue","","","","","","","","","","","","","","","","","",""
"3A","17-18","3","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","200000","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"3A","17-18","4","Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed","200000","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"3A","17-18","5","Drainage works","200000","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3A","17-18","6","Benches","200000","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"3A","17-18","7","Rain water line cleaning","200000","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3A","17-18","8","Road Construction / Colouring Roads / Railing Work / Speed Breaker","200000","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3B","17-18","1","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","200000","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"3B","17-18","2","Drainage works","200000","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3B","17-18","3","Building toilets / maintenance etc.","200000","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"3B","17-18","4","Benches","200000","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"3B","17-18","5","Building toilets / maintenance etc.","200000","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"3B","17-18","6","Wall painting (slogans)","200000","Decoration","No Issue","","","","","","","","","","","","","","","","","",""
"3B","17-18","7","Distributing Dustbins/buckets","200000","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"3B","17-18","8","Road Construction / Colouring Roads / Railing Work / Speed Breaker","200000","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3B","17-18","9","Bags","200000","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"3C","17-18","1","Drainage works","200000","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3C","17-18","2","Mainetnance and cleaning works","200000","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"3C","17-18","3","Gym / gym equipments","200000","Gym","No Issue","","","","","","","","","","","","","","","","","",""
"3D","17-18","1","Picking of radar waste","200000","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"3D","17-18","2","Drainage works","200000","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3D","17-18","3","Picking of radar waste","200000","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"3D","17-18","4","Drainage works","200000","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3D","17-18","5","Water pipelines, repairing etc.","200000","Water supply","No Issue","","","","","","","","","","","","","","","","","",""
"3D","17-18","6","Road Construction / Colouring Roads / Railing Work / Speed Breaker","200000","Road","No Issue","","","","","","","","","","","","","","","","","",""
"4A","17-18","1","Benches","125546","Benches","No Issue","","","","","","","","","","","","","","","","","",""
