"DHANKAWADI - SAHAKAR NAGAR","","","","","","","",""
"","","","","","","0","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"35A","17-18","1","Direction plates installation","159693.96","Nameplates","No Issue","",""
"35A","17-18","2","Drainage related work","142870.65","Drainage","No Issue","",""
"35A","17-18","3","Installation of benches","163066.55","Benches","No Issue","",""
"35A","17-18","4","Direction plates installation","183382","Nameplates","No Issue","",""
"35B","17-18","1","Electricity related work","145741.58","Electrification","No Issue","",""
"35B","17-18","2","Electricity related work","184309.5","Electrification","No Issue","",""
"35B","17-18","3","Electricity related work","184802.85","Electrification","No Issue","",""
"35B","17-18","4","Electricity related work","185457.91","Electrification","No Issue","",""
"35B","17-18","5","Electricity related work","185033.67","Electrification","No Issue","",""
"35B","17-18","6","Electricity related work","185591.8","Electrification","No Issue","",""
"35B","17-18","7","Installing benches","142828","Benches","No Issue","",""
"35C","17-18","1","Drainage related work","185444.72","Drainage","No Issue","",""
"35C","17-18","2","Installing benches","143778.56","Benches","No Issue","",""
"35C","17-18","3","Picking up rada waste","129787.26","Cleaning","No Issue","",""
"35C","17-18","4","Installing benches","137448.64","Benches","No Issue","",""
"35C","17-18","5","Electricity related work","184537.41","Electrification","No Issue","",""
"35C","17-18","6","Electricity related work","167171.2","Electrification","No Issue","",""
"35D","17-18","1","Direction plates installation","163799.05","Nameplates","No Issue","",""
"35D","17-18","2","Installing benches","179524.37","Benches","No Issue","",""
"35D","17-18","3","Picking up radar waste","128804.96","Cleaning","No Issue","",""
"35D","17-18","4","Installing benches","136208.53","Benches","No Issue","",""
"35D","17-18","5","Electricity related work","183735.11","Electrification","No Issue","",""
"35D","17-18","6","Electricity related work","189018.81","Electrification","No Issue","",""
"35D","17-18","7","Electricity related work","183953.75","Electrification","No Issue","",""
"35D","17-18","8","Electricity related work","184838.31","Electrification","No Issue","",""
"39B","17-18","1","Tiling work in school","169180.36","Pavement blocks","No Issue","",""
"39C","17-18","1","Nameplates related work","99968.94","Nameplates","No Issue","",""
"39C","17-18","2","Nameplates related work","99968.64","Nameplates","No Issue","",""
"39C","17-18","3","Nameplates related work","99968.94","Nameplates","No Issue","",""
"39C","17-18","4","Picking up radar waste","127075.2","Cleaning","No Issue","",""
"40A","17-18","1","Nameplates related work","169333.15","Nameplates","No Issue","",""
"40A","17-18","2","Installing benches","175619.25","Benches","No Issue","",""
"40A","17-18","3","Installing benches","175619.25","Benches","No Issue","",""
"40A","17-18","4","Installing fences","155658.46","Fencing","No Issue","",""
"40A","17-18","5","Nameplates related work","157634.15","Nameplates","No Issue","",""
"40A","17-18","6","Adding thermoplastic paint at some places","160090.11","Traffic","No Issue","",""
"40A","17-18","7","Barricades, radar waste related work","179946.08","Cleaning","No Issue","",""
"40B","17-18","1","Adding thermoplastic paint at some places","135823.2","Traffic","No Issue","",""
"40B","17-18","2","Drainage related work","127124.83","Drainage","No Issue","",""
"40B","17-18","3","Nameplates related work","144888.86","Nameplates","No Issue","",""
"40B","17-18","4","Installation of benches","167973.32","Benches","No Issue","",""
"40B","17-18","5","Installation of benches","150933.67","Benches","No Issue","",""
"40C","17-18","1","Nameplates related work","131848.18","Nameplates","No Issue","",""
"40C","17-18","2","Drainage related work","169660","Drainage","No Issue","",""
"40C","17-18","3","Electricity related work","142230.02","Electrification","No Issue","",""
"40C","17-18","4","Road related work","123709.51","Road","No Issue","",""
"40C","17-18","5","Benches related work","61106.93","Benches","No Issue","",""
"40C","17-18","6","Benches related work","155562.32","Benches","No Issue","",""
"40D","17-18","1","Drainage related work","194224.28","Drainage","No Issue","",""
"40D","17-18","2","Installing water line","196904.94","Drainage","No Issue","",""
"40D","17-18","3","Coloring work in gym","180221.97","Colouring","No Issue","",""
"40D","17-18","4","Installation of benches","194597.07","Benches","No Issue","",""
"40D","17-18","5","Installation of LED projector","153787.53","Electrification","No Issue","",""
"40D","17-18","6","Installation of benches","174214.15","Benches","No Issue","",""
"40D","17-18","7","Adding thermoplastic paint at some places","137307.65","Traffic","No Issue","",""
"40D","17-18","8","Fencing work for drainage wall","171040.37","Fencing","No Issue","",""
"39C","18-19","6","Drainage related work","157838.14","Drainage","No Issue","",""
"39C","18-19","7","Rainwater line and chamber repairing","111478.61","Drainage","No Issue","",""
"39D","18-19","1","Supplying cloth bags","200000","Bags","No Issue","",""
"39D","18-19","2","Road and chowk name boards and maintainence work","146491.33","Nameplates","No Issue","",""
"39D","18-19","3","Development work in health clinics","184293.7","Medical","No Issue","",""
"39D","18-19","4","Road and chowk name boards and maintainence work","196999.35","Nameplates","No Issue","",""
"39D","18-19","5","Wall coloring, painting and writing slogans on them","196999.35","Decoration","No Issue","",""
"40A","18-19","1","Wall coloring and painting","197791.06","Decoration","No Issue","",""
"40A","18-19","2","Installing wooden benches","184348.29","Benches","No Issue","",""
"40A","18-19","3","Supplying cloth bags","200000","Bags","No Issue","",""
"40A","18-19","4","Installing sign boards","196180.55","Nameplates","No Issue","",""
"40A","18-19","5","Installing sign boards","196180.55","Nameplates","No Issue","",""
"40A","18-19","6","Supplying cloth bags","200000","Bags","No Issue","",""
"40B","18-19","1","Drainage related work","176243.43","Drainage","No Issue","",""
"40B","18-19","2","Picking up radar waste","194514.99","Cleaning","No Issue","",""
"40B","18-19","3","Installing nameplates","170847.53","Nameplates","No Issue","",""
"40B","18-19","4","Picking up radar waste","195517.57","Cleaning","No Issue","",""
"40B","18-19","5","Repairing of water lines and other work","193196.07","Drainage","No Issue","",""
"40B","18-19","6","Drainage line cleaning and repairing","176136.24","Drainage","No Issue","",""
"40B","18-19","7","Installing nameplates","170829.59","Nameplates","No Issue","",""
"40B","18-19","8","Installing nameplates","95941.44","Nameplates","Resolved","Wrong amount in the received information. Extra digit maybe.","Corrected as 95941.44"
"40C","18-19","1","Picking up radar waste","89184.82","Cleaning","No Issue","",""
"40C","18-19","2","Drainage line cleaning and repairing","197930.06","Drainage","No Issue","",""
"40C","18-19","3","Picking up radar waste","194595.2","Cleaning","No Issue","",""
"40D","18-19","1","Drainage line and concrete work","197697.84","Drainage","No Issue","",""
"40D","18-19","2","Fencing work for park","188239.97","Fencing","No Issue","",""
"40D","18-19","3","Installing sheds","192772.67","Buildings","No Issue","",""
"40D","18-19","4","Supplying cloth bags","200000","Bags","No Issue","",""
"40D","18-19","5","Supplying cloth bags","200000","Bags","No Issue","",""
"40D","18-19","6","Installing sheds","192772.67","Buildings","No Issue","",""
"40D","18-19","7","Installing facilities in park","98789.65","Garden","No Issue","",""
"40D","18-19","8","Installing attractive items in park","196310.84","Electrification","No Issue","",""
"35A","19-20","1","Drainage repairing related work","199962.45","Drainage","No Issue","",""
"35A","19-20","2","Drainage repairing related work","197257.96","Drainage","No Issue","",""
"35A","19-20","3","Road related work","197515.98","Road","No Issue","",""
"35A","19-20","4","Community temple repairing","194516.54","Buildings","No Issue","",""
