"SINHGAD ROAD","","","","","","","",""
"","","","","","","0","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"30A","17-18","1","Rapairing of Tar road at Janata wasahat, Dattawadi ","183596.32","Road","Resolved","",""
"30A","17-18","2","Rapairing of Tar road at Janata wasahat, Dattawadi ","183596.32","Road","Resolved","",""
"30A","17-18","3","distribution of cloth bags","200000","Bags","Resolved","",""
"30A","17-18","4","distribution of buckets","200000","Dustbin/Buckets","","",""
"30A","17-18","5","Installation of signages at various locations at Janata wasahat, Dattawadi ","187950.2","","Resolved","",""
"30A","17-18","6","Fixing  of tiles, paver blocks & concrete at many places at Dattawadi area","136062.52","Pavement blocks","","",""
"30A","17-18","7","Fixing  of  paver blocks  at many places at Dattawadi area","154114.64","Pavement blocks","Resolved","",""
"30A","17-18","8","Removal of debaries at various places at Dattawadi area","104996.37","Cleaning","","",""
"30A","17-18","9","Fixing of benches at various places Dattawadi area","151028.55","Benches","","",""
"30B","17-18","1","Repairing 7 cleaning of Toilets at Janata wasahat","173247.26","Toilet","Resolved","",""
"30B","17-18","2","Casting of Concrete at various places at galli no 1 to 108  at Janata wasahat","152879.67","Concretization","","",""
"30B","17-18","3","Casting of Concrete at various places  at Janata wasahat","151846.25","Concretization","","",""
"30B","17-18","4","Casting of Concrete & fixing of tiles at S. no. 242, Sinhgad Road","170684.48","Concretization","Resolved","",""
"30B","17-18","5","Casting of Concrete & fixing of tiles at S. no. 132, Sinhgad Road","123682.03","Concretization","Resolved","",""
"30B","17-18","6","Fixing of steel benches at various places  at Janata wasahat","185219.19","Benches","","",""
"30B","17-18","7","Repairing of chambers at galli no 1 to 50  at Janata wasahat","136450.33","Drainage","","",""
"30B","17-18","8","Repairing of chambers at galli no 51 to 108  at Janata wasahat","147049.62","Drainage","","",""
"30B","17-18","9","Repairing of Drainage Chembers","183778.86","Drainage","Resolved","",""
"30B","17-18","10","Repairing & cleaning of Drainage line & Chambers","189963.9","Drainage","Resolved","",""
"","","","","","","","",""
"30B","18-19","1","fixing of electrical fittings at Jaibhawani Nagar & Ram nagar","132753.57","Electrification","","",""
"30B","18-19","2","fixing of electrical fittings at Waghjai Mandir, aazad hind mitra mandal","132753.58","Electrification","","",""
"30B","18-19","3","Distribution of cloth bags at Dattawadi area","200000","Bags","","",""
"30B","18-19","4","repair work of road at various places at vegetable market area","196955.68","Road","","",""
"30B","18-19","5","repairwork of road near vitthal mandir , at Janta wasahat","197520.56","Road","","",""
"30B","18-19","6","repairwork of road near vitthal mandir , at Janta wasahat","197382.21","Road","","",""
"30B","18-19","7","repairing work of toilets at Janta wasahat","195634.5","Toilet","","",""
"30B","18-19","8","concreting at various places at Janata wasahat","191488","Concretization","","",""
"30B","18-19","9","Cleaning & repairing of manholes at Janta Wasahat galli 1 to 10","196902.02","Drainage","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"30C","17-18","1","Removal of debaries at various places at Janata wasahat","156606.12","Cleaning","","",""
"30C","17-18","2","Removal of debaries at various places at Dattawadi area","83416.32","Cleaning","Resolved","",""
"30C","17-18","3","Purches of bags","200000","Bags","","",""
"30C","17-18","4","Purches of Cloth bags from Mahila Bachat Gat","200000","Bags","","",""
"30C","17-18","5","Fixing  of tiles, paver blocks & concrete at many places at Panmala area","189164.99","Pavement blocks","Resolved","",""
"30C","17-18","6","Repairing  of tiles, paver blocks & concrete at many places at Janata wasahat","120581.59","Pavement blocks","","",""
"30C","17-18","7","Fixing  of tiles, paver blocks & concrete at many places at Janata wasahat","122707.7","Concretization","","",""
"30C","17-18","8","Repairing  of Toilets at Janata wasahat","185522.98","Toilet","Resolved","",""
"30C","17-18","9","Work related to road  at Janata wasahat, Dattawadi ","136147.51","Road","","",""
"30C","17-18","10","Work related to Drainage  at Janata wasahat, Dattawadi ","157981.83","Drainage","Resolved","",""
"","","","","","","","",""
"30C","18-19","1","Making of cloth bags to distribute in people at Janta vasahat dattawadi","200000","Bags","","",""
"30C","18-19","2","Making of cloth bags to distribute in people at Janta vasahat dattawadi","200000","Bags","","",""
"30C","18-19","3","Repairwork of toilets at Janta wasahat Parisar","157459.22","Toilet","","",""
"30C","18-19","4","fixing of paver blocks , tiles & concretization at various places at Panmala area","187524.63","Pavement blocks","","",""
"30C","18-19","5","removal of debaries at various places at Janta wasahat , Dattawadi area.","192936.79","Cleaning","","",""
"30C","18-19","6","removal of debaries at various places at Janta wasahat , Dattawadi area.","193916.17","Cleaning","","",""
"30C","18-19","7","Repair work of toilets at Janta wasahat , Dattawadi area","197898.52","Toilet","","",""
"30C","18-19","9","Repairwork of drainage line & reconcreting at Jaibhawani nagar, Janta wasahat","166850.018","Drainage","Resolved","the final cost of work is not mentioned, as the work is not completed",""
"30C","18-19","10","Concreting at various gallis  at Jaibhawani nagar, Janta wasahat","166541.826","Concretization","Resolved","the final cost of work is not mentioned, as the work is not completed",""
"30C","18-19","12","repairing & fixing of paving blocks at Jaibhawani Nagar , Janta wasahat","168659.54","Pavement blocks","","",""
"30C","18-19","13","Various works related to GAVANI at janta wasahat galli no 1 to 100","197479.24","Ganeshotsav","Resolved","",""
"30C","18-19","14","Various works related to GAVANI at janta wasahat galli no 1 to 50","197024.01","Ganeshotsav","Resolved","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"30D","17-18","1","Removal of debaries at various places at Janata wasahat","134627.35","Cleaning","","",""
"30D","17-18","2","Fixing of steel benches at various places  at Janata wasahat","197648.89","Benches","","",""
"30D","17-18","3","Fixing of steel benches at various places  at Janata wasahat","170896.41","Benches","","",""
"30D","17-18","4","Fixing of steel benches at various places  at Janata wasahat","195674.22","Benches","","",""
"30D","17-18","5","Fixing of steel benches at various places  at Janata wasahat","195674.22","Benches","","",""
"30D","17-18","6","Repairing  of Toilets at Janata wasahat, near Dandekar Bridge","148429.49","Toilet","","",""
"30D","17-18","7","Fixing of Pagoda at Janata wasahat, Dattawadi , near Saritanagari","193962.36","Buildings","Resolved","",""
"30D","17-18","8","Fixing of Pagoda at Janata wasahat, Dattawadi , near Radhika Society","193926.28","Buildings","Resolved","",""
"30D","17-18","9","Repairing of Pagoda at Janata wasahat, Dattawadi , near Radhika Society","63603.8","Buildings","Resolved","",""
"30D","17-18","10","Repairing of Drainage Chembers","161157.47","Drainage","","",""
"","","","","","","","",""
"30D","18-19","1","Purches of cloth bags at Janta wasahat dattawadi","200000","Bags","","",""
"30D","18-19","2","Purches of cloth bags at Janta wasahat dattawadi","200000","Bags","","",""
"30D","18-19","3","removal of debaries from quari at Janta wasahat","198416.96","Cleaning","","",""
"30D","18-19","4","removal of debaries from near Nerlekar Hospital","198416.96","Cleaning","","",""
"30D","18-19","5","Furniture work at Kalpana Chawala School","197364.39","Furniture","","",""
"30D","18-19","6","Various work related to Drainage at Ganeshmala area","197090.82","Drainage","","",""
