"WARJE - KARVE NAGAR","","","","","","","",""
"","","","","","","0","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"13A","17-18","1","Supplying computers and printers","136288.15","Computers","No Issue","",""
"13A","17-18","2","Bachat gat","200000","BachatGat","No Issue","",""
"13A","17-18","3","Distribution of canvas bags","200000","Bags","No Issue","",""
"13B","17-18","1","Installation of direction plates","130037.9","Nameplates","No Issue","",""
"13B","17-18","2","Thermoplastic paint related work and vehicles related work","135679.42","Traffic","No Issue","",""
"13B","17-18","3","Concrete related work","131496.62","Concretization","No Issue","",""
"13B","17-18","4","Footpath repairing work","137505.26","Footpath","No Issue","",""
"13B","17-18","5","Installation of rainwater harvesting in a school","147992.21","Rain Water Harvesting","No Issue","",""
"13B","17-18","6","Picking up radar waste","139285.69","Cleaning","No Issue","",""
"13B","17-18","7","Parking and vehicles related boards installation","129851.42","Nameplates","No Issue","",""
"13B","17-18","8","Installation of benches","129922.71","Benches","No Issue","",""
"13B","17-18","9","Distribution of canvas bags","200000","Bags","No Issue","",""
"13C","17-18","1","Parking and vehicles related boards installation","116933","Nameplates","No Issue","",""
"13C","17-18","2","Installation of direction plates","129448.7","Nameplates","No Issue","",""
"13C","17-18","3","Improving lighting in the area","167564.68","Electrification","No Issue","",""
"13C","17-18","4","Footpath repairing work","138186.87","Footpath","No Issue","",""
"13C","17-18","5","Painting and other repairing work in temple","96841.8","Buildings","No Issue","",""
"13C","17-18","6","Footpath repairing work","138220.81","Footpath","No Issue","",""
"13C","17-18","7","Picking up radar waste","137247.36","Cleaning","No Issue","",""
"13C","17-18","8","Drainage related work","137549.89","Drainage","No Issue","",""
"13C","17-18","9","Concrete related work","72060.66","Concretization","No Issue","",""
"13C","17-18","10","Distribution of canvas bags","200000","Bags","No Issue","",""
"13D","17-18","1","Picking up radar waste","181451.09","Cleaning","No Issue","",""
"13D","17-18","2","Installation of iron fences","160753.07","Fencing","No Issue","",""
"13D","17-18","3","Installation of benches","132042.98","Benches","No Issue","",""
"13D","17-18","4","Installation of benches","132042.98","Benches","No Issue","",""
"13D","17-18","5","Parking and vehicles related boards installation","146559.78","Nameplates","No Issue","",""
"13D","17-18","6","Distribution of canvas bags","200000","Bags","No Issue","",""
"13D","17-18","7","Health centers repairing","138861.82","Buildings","No Issue","",""
