"4","","","","","","","",""
"","","","","","","12","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"1A","17-18","1","Benches","157590.36","Benches","","",""
"1A","17-18","2","Jute bags ","200000","Bags","","",""
"1A","17-18","3","Jute bags ","200000","Bags","","",""
"1A","17-18","4","Nameplates","126726.99","Nameplates","","",""
"1A","17-18","5","Colouring slogans","144474.34","Decoration","","",""
"1A","17-18","6","Toilet repairs","158499.07","Toilet","","",""
"1A","17-18","7","Colouring slogans","129136.38","Decoration","","",""
"1B","17-18","1","Water dispenser","106890.83","Water supply","","",""
"1B","17-18","2","Water dispenser","153719.97","Water supply","","",""
"1B","17-18","3","Benches","200000","Benches","","",""
"1B","17-18","4","Drainage works","137402.29","Drainage","","",""
"1B","17-18","5","Nameplates","200000","Nameplates","","",""
"1B","17-18","6","Gym equipments","200000","Gym","","",""
"1C","17-18","1","Street lights","142194.16","Electrification","","",""
"1C","17-18","2","Rada Roda cleaning work","145595.58","Cleaning","","",""
"1C","17-18","3","Street lights","200000","Electrification","","",""
"1C","17-18","4","Street lights","145459.41","Electrification","","",""
"1C","17-18","5","Street lights","147649.24","Electrification","","",""
"1C","17-18","6","Development works","145067.67","Development work","","",""
"1C","17-18","7","Development works","92752.75","Development work","","",""
"1C","17-18","8","Development works","90278.57","Development work","","",""
"1C","17-18","9","Development works","200000","Development work","","",""
"1C","17-18","10","Street lights","90899.38","Electrification","","",""
"1C","17-18","11","Street lights","95858.99","Electrification","","",""
"1D","17-18","1","Benches","200000","Benches","","",""
"1D","17-18","2","Benches","200000","Benches","","",""
"1D","17-18","3","Colouring slogans","125441.47","Decoration","","",""
"1D","17-18","4","Footpath repairs","122639.55","Footpath","","",""
"1D","17-18","5","Rada Roda cleaning work","129353.78","Cleaning","","",""
"1D","17-18","6","Buckets for waste disposal","157404.58","Waste disposal","","",""
"1D","17-18","7","Nameplates","128651.53","Nameplates","","",""
"1D","17-18","8","Paver blocks","128651.53","Pavement blocks","","",""
"1D","17-18","9","Jute bags ","992142.44","Bags","","",""
"2A","17-18","1","Buckets for waste disposal","125527.08","Waste disposal","","",""
"2A","17-18","2","Drainage works","133429.41","Drainage","","",""
"2A","17-18","3","Toilet repairs","132036.69","Toilet","","",""
"2A","17-18","4","Toilet repairs","200000","Toilet","","",""
"2A","17-18","5","Rada Roda cleaning work","175027.28","Cleaning","","",""
"2A","17-18","6","Dhakal gadi","200000","Waste disposal","","",""
"2A","17-18","7","Benches","160527.15","Benches","","",""
