"AUNDH - BANER","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5","","","","","","","","","","","","","","","","","","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment","","","","","","","","","","","","","","","","",""
"8A","17-18","1","Making coal tar roads ","748564.18","Road","","","","","","","","","","","","","","","","","","","",""
"8A","17-18","2","Construction of footpath ","710416.64","Footpath","","","","","","","","","","","","","","","","","","","",""
"8A","17-18","3","Concretization of roads ","446900.07","Concretization","","","","","","","","","","","","","","","","","","","",""
"8A","17-18","4","Concretization of roads ","655211.88","Concretization","","","","","","","","","","","","","","","","","","","",""
"8A","17-18","5","Concretization of roads ","719454.15","Concretization","","","","","","","","","","","","","","","","","","","",""
"8A","17-18","6","Concretization of roads ","313617.57","Concretization","","","","","","","","","","","","","","","","","","","",""
"8A","17-18","7","Work related to schools ","713302.46","Buildings","","","","","","","","","","","","","","","","","","","",""
"8A","17-18","8","Construction of R.C.C. building","93925.86","Buildings","","","","","","","","","","","","","","","","","","","",""
"8A","17-18","9","Development work ","225489.64","Development work","","","","","","","","","","","","","","","","","","","",""
"8A","17-18","10","Construction of Samaj Mandir, library, study hall","802238.05","Buildings","","","","","","","","","","","","","","","","","","","",""
"8A","17-18","11","Development work ","722712.78","Development work","","","","","","","","","","","","","","","","","","","",""
"8A","17-18","12","Development work ","403899.22","Development work","","","","","","","","","","","","","","","","","","","",""
"8A","17-18","13","Work related to school playground","602391.36","Garden","","","","","","","","","","","","","","","","","","","",""
"8A","17-18","14","Repairing toilets ","739543.97","Toilet","","","","","","","","","","","","","","","","","","","",""
"8A","17-18","15","Putting drainage line","332044.64","Drainage","","","","","","","","","","","","","","","","","","","",""
"8A","17-18","16","Putting drainage line","66087.28","Drainage","","","","","","","","","","","","","","","","","","","",""
"8A","17-18","17","Putting drainage line","844536.3","Drainage","","","","","","","","","","","","","","","","","","","",""
"8A","17-18","18","Putting drainage line","641095.74","Drainage","","","","","","","","","","","","","","","","","","","",""
"8A","17-18","19","Putting drainage line","708892.3","Drainage","","","","","","","","","","","","","","","","","","","",""
"8A","17-18","20","Electrification ","280200","Electrification","","","","","","","","","","","","","","","","","","","",""
"8A","17-18","21","Electrification ","1000000","Electrification","","","","","","","","","","","","","","","","","","","",""
"8A","17-18","22","Electrification ","710460.1","Electrification","","","","","","","","","","","","","","","","","","","",""
"8A","17-18","23","Installing underground cables ","744220.4","Electrification","","","","","","","","","","","","","","","","","","","",""
"8B","17-18","24","Electrification ","658272.19","Electrification","","","","","","","","","","","","","","","","","","","",""
"8C","17-18","25","Making coal tar roads ","793118.8","Road","","","","","","","","","","","","","","","","","","","",""
"8C","17-18","26","Making footpaths","573275.71","Footpath","","","","","","","","","","","","","","","","","","","",""
"8C","17-18","27","Making footpaths","553398.93","Footpath","","","","","","","","","","","","","","","","","","","",""
"8C","17-18","28","Concretization of roads ","727113.13","Concretization","","","","","","","","","","","","","","","","","","","",""
"8C","17-18","29","Concretization of roads ","662048.56","Concretization","","","","","","","","","","","","","","","","","","","",""
"8C","17-18","30","Concretization of roads ","797649.37","Concretization","","","","","","","","","","","","","","","","","","","",""
"8C","17-18","31","Work related to development of school","718431.5","Buildings","","","","","","","","","","","","","","","","","","","",""
"8C","17-18","32","Reparative painting work ","681103.05","Colouring","","","","","","","","","","","","","","","","","","","",""
"8C","17-18","33","Work related to cemetery ","632304.92","Cemetory / Crematorium","","","","","","","","","","","","","","","","","","","",""
"8C","17-18","34","Providing labour ","990328.29","Development work","Open","Expense code not confirmed ","","","","","","","","","","","","","","","","","",""
"8C","17-18","35","Repairing toilets ","700641.09","Toilet","","","","","","","","","","","","","","","","","","","",""
"8C","17-18","36","Putting drainage line","588595.5","Drainage","","","","","","","","","","","","","","","","","","","",""
"8C","17-18","37","Putting drainage line, repairing chamber, concretization","761359.22","Drainage","","","","","","","","","","","","","","","","","","","",""
"8C","17-18","38","Cleaning gutters","461310.61","Drainage","","","","","","","","","","","","","","","","","","","",""
"8C","17-18","39","Drainage channeling ","932415.2","Drainage","","","","","","","","","","","","","","","","","","","",""
"8C","17-18","40","Electrification ","786671.08","Electrification","","","","","","","","","","","","","","","","","","","",""
"8C","17-18","41","Making coal tar roads ","821493.78","Road","","","","","","","","","","","","","","","","","","","",""
"8D","17-18","42","Making footpaths","250753.43","Footpath","","","","","","","","","","","","","","","","","","","",""
"8D","17-18","43","Trimix concretization of roads ","657753.61","Concretization","Open","Work is incomplete, should it be recorded?","","","","","","","","","","","","","","","","","",""
"8D","17-18","44","Development work related to school","270978.77","Buildings","","","","","","","","","","","","","","","","","","","",""
"8D","17-18","45","Development work related to school","122344.82","Buildings","","","","","","","","","","","","","","","","","","","",""
"8D","17-18","46","Waterproofing hospital floor ","280825.12","Medical","","","","","","","","","","","","","","","","","","","",""
"8D","17-18","47","Work related to Muslim cemetery ","717055.99","Cemetory / Crematorium","","","","","","","","","","","","","","","","","","","",""
"8D","17-18","48","Development work ","848958.62","Buildings","","","","","","","","","","","","","","","","","","","",""
"8D","17-18","49","Work related to vihar ","774518","Buildings","","","","","","","","","","","","","","","","","","","",""
"8D","17-18","50","Work related to Samaj Mandir ","799410.06","Buildings","","","","","","","","","","","","","","","","","","","",""
"8D","17-18","51","Work related to vihar ","745865.18","Buildings","","","","","","","","","","","","","","","","","","","",""
"8D","17-18","52","Work related to Samaj Mandir ","849874.87","Buildings","","","","","","","","","","","","","","","","","","","",""
