"KASBA - VISHRAMBAUG WADA","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","20","","","","","","","","","","","","","","","","","","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment","","","","","","","","","","","","","","","","",""
"15A","17-18","1","Road construction in Narayan Peth","834000","Road","","","","","","","","","","","","","","","","","","","",""
"15A","17-18","2","Road construction in Budhwar Peth","834000","Road","","","","","","","","","","","","","","","","","","","",""
"15A","17-18","3","Road construction in Shaniwar Peth","833000","Road","","","","","","","","","","","","","","","","","","","",""
"15A","17-18","4","Cleaning in Peth area","746000","Cleaning","Open","Proposed Work","","","","","","","","","","","","","","","","","",""
"15A","17-18","5","Thermoplastic paint in Budhwar,Shaniwar,Narayan Peth","666000","Colouring","Open","Proposed Work","","","","","","","","","","","","","","","","","",""
"15A","17-18","6","Thermoplastic paint in Sadashiv Peth and Shukrawar Peth","717000","Colouring","","","","","","","","","","","","","","","","","","","",""
"15A","17-18","7","Traffic related work in Sadashiv and Narayan Peth","666000","Traffic","Open","Proposed Work","","","","","","","","","","","","","","","","","",""
"15A","17-18","8","Traffic related work in Budhwar and Shukrawar Peth","666000","Traffic","Open","Proposed Work","","","","","","","","","","","","","","","","","",""
"15A","17-18","9","Footpath repairingin Budhwar and Shaniwar Peth","747000","Footpath","","","","","","","","","","","","","","","","","","","",""
"15A","17-18","10","Footpath repairing in Subhashnagar and Shukrawar Peth","831000","Footpath","","","","","","","","","","","","","","","","","","","",""
"15A","17-18","11","Square beautification work","","Decoration","Open","Amount is not mentioned","","","","","","","","","","","","","","","","","",""
"15A","17-18","12","Benches in Sadashiv Peth","371000","Benches","","","","","","","","","","","","","","","","","","","",""
"15A","17-18","13","Benches in Sadashiv Peth","334000","Benches","","","","","","","","","","","","","","","","","","","",""
"15A","17-18","14","Benches in Shaniwar Peth, Narayan Peth","678000","Benches","","","","","","","","","","","","","","","","","","","",""
"15A","17-18","15","Benches in Sadashiv Peth","710000","Benches","Open","Nivida Manyates","","","","","","","","","","","","","","","","","",""
"15A","17-18","16","Repairig in school building in Vishrambaugwada","831000","Buildings","","","","","","","","","","","","","","","","","","","",""
"15A","17-18","17","Various development work","1899000","Development work","Open","Row 17 and 18 have combined amount","","","","","","","","","","","","","","","","","",""
"15A","17-18","18","Common toilet repairing and similar work in Peth area","","Toilet","Open","Row 17 and 18 have combined amount","","","","","","","","","","","","","","","","","",""
"15A","17-18","19","Drainage line repairing and new construction in Shaniwar Peth","982000","Drainage","","","","","","","","","","","","","","","","","","","",""
"15A","17-18","20","Drainage line repairing and new construction in Shukrawar Peth","959000","Drainage","","","","","","","","","","","","","","","","","","","",""
"15A","17-18","21","Drainage line repairing and new construction in Budhwar Peth","949000","Drainage","","","","","","","","","","","","","","","","","","","",""
"15A","17-18","22","Drainage line repairing and new construction in Subhashnagar","926000","Drainage","","","","","","","","","","","","","","","","","","","",""
"15A","17-18","23","New drainage line construction and similar work","999000","Drainage","","","","","","","","","","","","","","","","","","","",""
"15A","17-18","24","Replacement of old drainage line and similar work","859000","Drainage","","","","","","","","","","","","","","","","","","","",""
"15A","17-18","25","Replacement of old drainage line and similar work","999000","Drainage","","","","","","","","","","","","","","","","","","","",""
"15A","17-18","26","Replacement of old drainage line and similar work in Sadashiv Peth","949000","Drainage","","","","","","","","","","","","","","","","","","","",""
"15A","17-18","27","Replacement of old drainage line and similar work in Narayan Peth","818000","Drainage","","","","","","","","","","","","","","","","","","","",""
"15A","17-18","28","Replacement of old drainage line and similar work in Shukrawar Peth","859000","Drainage","","","","","","","","","","","","","","","","","","","",""
"15A","17-18","29","Replacement of old drainage line and similar work in Budhwar Peth","871000","Drainage","","","","","","","","","","","","","","","","","","","",""
"15A","17-18","30","Replacement of old drainage line and similar work in Subhashnagar","839000","Drainage","","","","","","","","","","","","","","","","","","","",""
"15A","17-18","31","Drainage system repairing in Sadashiv Peth","818000","Drainage","Open","Proposed work","","","","","","","","","","","","","","","","","",""
"15A","17-18","32","Drainage system cleaning in Shukrawar Peth","933000","Drainage","Open","Work order","","","","","","","","","","","","","","","","","",""
"15A","17-18","33","Drainage system cleaning in Budhwar Peth","889000","Drainage","","","","","","","","","","","","","","","","","","","",""
"15A","17-18","34","Drainage system cleaning in Shukrawar Peth","889000","Drainage","","","","","","","","","","","","","","","","","","","",""
"15A","17-18","35","Drainage system cleaning in Subhashnagar","889000","Drainage","","","","","","","","","","","","","","","","","","","",""
"15A","17-18","36","Drainage system cleaning in various areas","879000","Drainage","","","","","","","","","","","","","","","","","","","",""
"15A","17-18","37","Drainage system cleaning in Lokhande Talim area","889000","Drainage","","","","","","","","","","","","","","","","","","","",""
"15A","17-18","38","Drainage system cleaning in Mandai","949000","Drainage","","","","","","","","","","","","","","","","","","","",""
"15A","17-18","39","Electricity related work in Sadashiv Peth, Shaniwar Peth","739000","Electrification","Open","Work Order","","","","","","","","","","","","","","","","","",""
"15A","17-18","40","Electricity related work in Budhwar and Narayan Peth","696000","Electrification","Open","Work Order","","","","","","","","","","","","","","","","","",""
"15A","17-18","41","Solar Lamps campaign in different PMC building","","Electrification","Open","Amount is not mentioned","","","","","","","","","","","","","","","","","",""
"15B","17-18","42","Concretization in Shaniwar Peth","948000","Concretization","","","","","","","","","","","","","","","","","","","",""
"15B","17-18","43","Concretization in Subhashnagar","948000","Concretization","","","","","","","","","","","","","","","","","","","",""
"15B","17-18","44","Concretization in Mandayi","948000","Concretization","","","","","","","","","","","","","","","","","","","",""
"15B","17-18","45","Concretization in Mandayi Police chowki","948000","Concretization","","","","","","","","","","","","","","","","","","","",""
"15B","17-18","46","Concretization in Bharat Scout guide area","847000","Concretization","Open","Vargikaran in progress","","","","","","","","","","","","","","","","","",""
"15B","17-18","47","Concretization in Hatti Ganpati area","957000","Concretization","","","","","","","","","","","","","","","","","","","",""
"15B","17-18","48","Footpath repairing in Sadashiv Peth","849000","Footpath","Open","Vargikaran","","","","","","","","","","","","","","","","","",""
