"DHANKAWADI - SAHAKAR NAGAR","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","10","","","","","","","","","","","","","","","","","","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment","","","","","","","","","","","","","","","","",""
"35A","21-22","1","Road improvement ((maintanance?) at various places within the ward)","10,000,00","Road","No Issue","","","","","","","","","","","","","","","","","","",""
"35A","21-22","2","Water supply line in Sahkarnagar no 2 (work related to rainly season)","10,000,00","Water supply","No Issue","","","","","","","","","","","","","","","","","","",""
"35A","21-22","3","Rain chamber repairs and cleaning in Shahu colony","10,000,00","Cleaning","Open","It is drainage chamber cleaning - so should be in cleaning or drainage? Additionally work status and expenditure columns are blank","","","","","","","","","","","","","","","","","",""
"35A","21-22","4","Water supply lines during rainy season Sahakarnagar 1 and 2","10,000,00","Water supply","No Issue","","","","","","","","","","","","","","","","","","",""
"35A","21-22","5","Development work","10,000,00","Development work","No Issue","","","","","","","","","","","","","","","","","","",""
"35A","21-22","6","Development work in Taware colony","10,000,00","Development work","No Issue","","","","","","","","","","","","","","","","","","",""
"35A","21-22","7","Development work in Sahakarnagar 2 and other locations","10,000,00","Development work","No Issue","","","","","","","","","","","","","","","","","","",""
"35A","21-22","8","Drainage work at Taljai and other locations","10,000,00","Drainage","No Issue","","","","","","","","","","","","","","","","","","",""
"35A","21-22","9","Drainage work at Ambedkar vasahat and other locations","10,000,00","Drainage","No Issue","","","","","","","","","","","","","","","","","","",""
"35A","21-22","10","Toilet repairs in Taljai and other locations","10,000,00","Toilet","No Issue","","","","","","","","","","","","","","","","","","",""
"35A","21-22","11","Electrification work at various locations","10,000,00","Electrification","No Issue","","","","","","","","","","","","","","","","","","",""
"35B","21-22","12","Drainage line at Chal no 123,124,125 in Shivdarshan","10,000,00","Drainage","No Issue","","","","","","","","","","","","","","","","","","",""
"35B","21-22","13","Laying the tiles in Shivdarshan Samaj Mandir","10,000,00","Buildings","No Issue","","","","","","","","","","","","","","","","","","",""
